Title,Summary,Link,Date,Author,Teams,Article,Outlet
Arsenal agree deal to sign Mosquera,Arsenal have agreed a deal with Valencia worth an initial &#163;13m plus add-ons for defender Cristhian Mosquera.,https://www.skysports.com/football/news/11095/13396780/cristhian-mosquera-transfer-news-arsenal-agree-deal-to-sign-valencia-defender,"Mon, 14 Jul 2025 22:52:00",Dharmesh Sheth,['Arsenal'],"Arsenal have agreed a deal with Valencia worth an initial £13m plus add-ons for defender Cristhian Mosquera.
Personal terms on a five-year deal have also been agreed in principle.
Mosquera is expected to fly into the UK in the next 24-48 hours for a medical and to finalise the move.
Arsenal are hopeful all will be sorted in time for Mosquera to be part of the squad that flies out to Asia for the club's pre-season tour on Saturday.
Mosquera has effectively confirmed his departure from Valencia. ""This is my home and it always will be,"" he told Spanish radio station Radio Marca Valencia.
""I arrived here at 12 years old and I'm leaving as a man. I'm a bit sad.""
In
Kepa Arrizabalaga - Chelsea, £5m
Martin Zubimendi - Real Sociedad, £51m
Christian Norgaard - Brentford, £15m
Out
Jorginho - Flamengo, free
Kieran Tierney - Celtic, free
Nuno Taveres - Lazio, £4.3m
Marquinhos - Cruzeiro, undisclosed
Takehiro Tomiyasu - released
Thomas Partey - released
From next season, Sky Sports' Premier League coverage will increase from 128 matches to at least 215 games exclusively live.
And 80 per cent of all televised Premier League games next season are on Sky Sports.
",SkySports
Brentford unlikely to sell both Man Utd target Mbeumo and Wissa,Brentford are highly unlikely to sell both Bryan Mbeumo and Yoane Wissa this summer amid interest from several Premier League clubs.,https://www.skysports.com/football/news/11095/13396552/bryan-mbeumo-and-yoane-wissa-transfer-news-brentford-unlikely-to-sell-both-amid-man-utd-spurs-newcastle-forest-interest,"Mon, 14 Jul 2025 13:46:00",Lyall Thomas,['Manchester United'],"Brentford are highly unlikely to sell both Bryan Mbeumo and Yoane Wissa this summer amid interest from several Premier League clubs.
Manchester United have been in talks with Brentford for Mbeumo for some time, but there remains in a gap in their respective valuations of the forward.
United's offer of a £55m fixed fee plus £7.5m in add-ons falls short of the £65m Brentford want, including all, if not most, up front.
Meanwhile, Wissa is a target for Tottenham, Newcastle and Nottingham Forest, the latter recently having a bid rejected for the Congo striker.
Whichever club agrees a deal for Wissa or Mbeumo would almost certainly rule out the sale of the other.
Brentford selling Mbeumo and Wissa would be such a significant loss of goals and attacking talent that it would be near-impossible for the club to lose them.
That has especially become the case after losing manager Thomas Frank to Tottenham and their captain Christian Norgaard to Arsenal.
Mbeumo scored 20 Premier League goals last season while Wissa netted 19. Mbeumo joined in 2019 from Troyes for just over £4m, while Wissa signed from Lorient for around £7.2m in 2021.
Mbeumo has made it clear he only wants to move to United and personal terms are believed to have been agreed in principle.
Bees sporting director Phil Giles told Sky Sports News that Mbeumo would be happy to stay at the club if a deal, which has to be ""right for Brentford"", does not materialise.
From next season, Sky Sports' Premier League coverage will increase from 128 matches to at least 215 games exclusively live.
And 80 per cent of all televised Premier League games next season are on Sky Sports.
",SkySports
Are Chelsea Premier League title contenders?,"Chelsea qualified for the Champions League, won the Conference League and became Club World Cup champions in Enzo Maresca's first season in charge.",https://www.skysports.com/football/news/11095/13396589/are-chelsea-premier-league-title-contenders-enzo-marescas-side-thriving-after-club-world-cup-success,"Mon, 14 Jul 2025 14:54:00",,['Chelsea'],"Chelsea qualified for the Champions League, won the Conference League and became Club World Cup champions in Enzo Maresca's first season in charge.
Can they now launch a Premier League title challenge?
Chelsea fans turned against Maresca at half-time of their fixture at Fulham in April.
Having won only once in their previous four games, their Champions League hopes were fading until Tyrique George and Pedro Neto produced a dramatic late turnaround. It proved to be the turning point of their season.
Chelsea won 13 of their final 15 matches with Maresca tweaking his system and also experimenting at the Club World Cup by using every outfield player.
Reece James has played alongside Moises Caicedo in midfield, allowing Enzo Fernandez to thrive further forward.
Full-backs Marc Cucurella and Malo Gusto stayed wide at the Club World Cup rather than coming into the middle and Cole Palmer shone playing on the right wing rather than behind the striker.
It was also noticeable how often Chelsea played longer against PSG, bypassing their trademark press, and using their pace and power to get up the pitch.
Maresca's possession style has turned exciting.
Chelsea came unstuck when Nicolas Jackson injured his hamstring midway through last season. Christopher Nkunku was unable to fill the void and winger Pedro Neto had to play as a striker. Palmer's drastic drop in form coincided with their sticky run too.
They won't have the same forward issues next season. The additions of Joao Pedro and Liam Delap have shown a statement of intent that the club wants to compete on all fronts. They can also call upon youngsters Marc Guiu and George.
The trio scored 32 goals between them in the Premier League last season. The bigger issue will be keeping them all happy with regular playing time. Rumours of an exit for Jackson have already started.
Robert Sanchez was jeered by Chelsea fans at times last season when he had the ball at his feet. His five errors leading to goals, the joint-most in the Premier League, didn't cost Chelsea a Champions League spot but left most thinking he needed to be replaced.
""I can't see someone winning the Premier League with that goalkeeper and without a standout centre-back,"" said Jamie Carragher in December. He followed it up a month later by saying Sanchez is a goalkeeper for a ""bottom-half"" club.
Chelsea walked away from signing AC Milan goalkeeper Mike Maignan before the Club World Cup, which appeared to lift Sanchez ahead of the tournament.
The 27-year-old kept four clean sheets, shining in the final with six saves to earn the Golden Glove and his accurate long kicking troubled PSG on the counter-attack. This could be a turning point in his Chelsea career - it has to be if they want to challenge for the title.
Todd Boehly now has something to show for his £1.5bn spending at Chelsea.
A Champions League place, a Conference League trophy and a Club World Cup triumph have laid Gary Neville's iconic line to rest.
Chelsea are looking the real deal with a young squad that has quickly inherited the club's trophy-winning mentality.
The estimated £111m in Club World Cup prize money will help to balance the books too.
The fixture computer has handed Chelsea a favourable start to the season, beginning at home to Crystal Palace on August 17, live on Sky Sports.
West Ham, Fulham and Brentford follow before they head out of London for the first time when they visit Manchester United.
Chelsea also have the second-best set of fixtures following mid-week European matches of the nine Premier League sides involved.
They'll play away from home just twice, against Manchester United and Crystal Palace, travelling only 341 miles after playing in the Champions League.
But how will they recover from a 64-game season that finally ended in July? There are just 25 days between the Club World Cup final and their first pre-season game against Bayer Leverkusen on August 8 followed by AC Milan two days later.
From next season, Sky Sports' Premier League coverage will increase from 128 matches to at least 215 games exclusively live.
And 80 per cent of all televised Premier League games next season are on Sky Sports.
",SkySports
Chelsea can win league or Champions League - Colwill,"Chelsea's Club World Cup proves they are ready to win the Premier League or Champions League as soon as next season, says defender Levi Colwill.",https://www.bbc.com/sport/football/articles/cz7l2l7e7dzo,"Mon, 14 Jul 2025 16:01:27",Nizaar Kinsella,['Chelsea'],"Chelsea's Club World Cup win proves they are ready to win the Premier League or Champions League as soon as next season, says defender Levi Colwill.
The 22-year-old started the shock 3-0 win over Paris Saint-Germain in New Jersey's MetLife Stadium, which crowned the Blues became world champions for the next four years in Fifa's expanded global tournament.
Asked whether Chelsea can build on that success to win either the Premier League or Champions League, Colwill replied: ""Yeah, definitely.
He added: ""I said at the start of this tournament that our plan is to win it and people looked at me as if I was crazy. So I'm going to say the exact same thing now going into the Premier League and Champions League.
""This is the biggest trophy I've ever won. I think the Club World Cup will be bigger than the Champions League and we were the first team to win it.
""It was a statement victory and, in the future, if we keep winning trophies then everyone will give us the love that we deserve.
""But we'll only know that in he future. I think we're ready and we'll see next season.""
Chelsea finished fourth in the Premier League last season and won the Conference League in an impressive first season under the leadership of manager Enzo Maresca.
It has been a significant year for Chelsea co-owners Todd Boehly and Clearlake Capital, after they earned their first real success since buying the club in 2022.
Their signing of a large number of young players on lengthy contracts has proven unpopular with some within the football community, but Colwill believes Chelsea now have a winning team capable of emulating the past.
""We're a team and that's in the Chelsea identity. You stick together no matter what. I think players like John Terry, Frank Lampard, Didier Drogba, they started that and we're carrying it on,"" he said.
""They were all amazing players, the best players who won a lot but we've got the best players in our team - young players for sure - and that's our plan: to win the biggest trophies for Chelsea.
""We're definitely capable of doing it. I think we've shown that. Everyone said that PSG were the best team in the world but we won 3-0.""
",BBC
Real Madrid sign ex-Man Utd defender Carreras from Benfica,Real Madrid sign former Manchester United defender Alvaro Carreras from Benfica on a six-year deal.,https://www.bbc.com/sport/football/articles/clyzpdr4e8no,"Mon, 14 Jul 2025 19:08:27",Mandeep Sanghera,['Manchester United'],"Real Madrid have signed Spanish defender Alvaro Carreras from Benfica.
The 22-year-old left-back has joined the Spanish club in a deal worth €50m (£43m) and has signed a six-year contract.
Carreras was part of Real Madrid's youth set-up from 2017 to 2020 before joining Manchester United.
He had spells on loan at Preston and Granada but did not play for the Old Trafford club's first team prior to a switch to Benfica in January 2024.
Carreras initially joined the Portuguese side on loan and then made the move permanent for a reported £5m, external in May 2024.
In announcing his move to Real Madrid, Benfica said, external that Manchester United would receive 20% on anything above how much they paid for the player.
Carreras, who made 68 appearances for Benfica and scored five goals, helped them finish second in the Portuguese top-flight last season and was part of their squad at the Club World Cup.
",BBC
Defender Tuanzebe sues former club Man Utd,Former Manchester United defender Axel Tuanzebe is suing the club for alleged negligent medical advice.,https://www.bbc.com/sport/football/articles/c04d25r24vyo,"Mon, 14 Jul 2025 12:15:12",Nick Mashiter,['Manchester United'],"Former Manchester United defender Axel Tuanzebe is suing the club for alleged negligent medical advice.
The 27-year-old, who joined Burnley earlier this month, filed a legal claim with the High Court against United last week.
It relates to a period from July 2022 involving an unknown injury and is considered a high value claim, which is understood to be more than £1m.
Tuanzebe was out for 195 days in his final season at the club before he was loaned to Stoke in January 2023, where he made just five appearances.
He joined the club when he was eight, making his debut in 2017, and played 37 times for them before leaving in the summer of 2023, joining Ipswich as a free agent that September.
The right-back captained United at every level and his final appearance for the club was in the 2021 Europa League final loss to Villarreal, where he scored in the shootout as they lost 11-10 on penalties.
The former England Under-21 international - who now represents DR Congo - also had three spells on loan at Aston Villa, while he also spent time at Napoli in 2022.
Tuanzebe's lawyers, Simons Muirhead Burton, and United both declined to comment when approached by BBC Sport.
",BBC
'I thought Trump was going to exit stage - but he wanted to stay',Chelsea's Club World Cup celebrations in New Jersey were shared with an unexpected guest - US President Donald Trump.,https://www.bbc.com/sport/football/articles/cwye2g3wx5no,"Mon, 14 Jul 2025 09:13:14",Phil Cartwright,['Chelsea'],"Chelsea's Club World Cup celebrations were shared with an unexpected guest - US President Donald Trump.
Following the Blues' 3-0 win over Paris St-Germain in New Jersey on Sunday, Trump presented the trophy to Chelsea captain Reece James before being invited to move aside by Fifa president Gianni Infantino.
However, Trump remained alongside James and goalkeeper Robert Sanchez, and applauded as James lifted the trophy - staying in position for a few seconds before he and Infantino left at the rear of the stage.
England international James said: ""They told me that he was going to present the trophy and then exit the stage, and I thought that he was going to exit the stage, but he wanted to stay.
""He just congratulated me and the team for lifting the trophy and told us to enjoy the moment.""
Cole Palmer, who scored twice for Chelsea in the final, added: ""I knew he was going to be here but I didn't know he was going to be on the stand when we lifted the trophy.
""I was a bit confused, yes.""
The conclusion of the revamped, expanded Club World Cup - which included extensive pre-match entertainment and a half-time show - was attended by 81,118 people at MetLife Stadium.
Trump watched Chelsea's impressive victory in the final alongside Infantino and said in an interview with Dazn at half-time that he was ""having a really great time"".
In a longer interview broadcast later on Sunday, he added: ""Gianni is a friend of mine, he's done such a great job with the league and with soccer - or as they would call it 'football', but I guess we call it soccer. I'm not sure that change could be made very easily.
""But it's great to watch - and this is a little bit of an upset that we're watching today, isn't it?""
When it was suggested he could make an executive order so that the sport was referred to as ""football"" from now on, Trump smiled and said: ""I think we could do that. I think I could do that.""
The United States, along with Canada and Mexico, will jointly host the 2026 men's World Cup next summer.
",BBC
Defender Mosquera agrees terms with Arsenal,Arsenal's pursuit of Valencia defender Cristhian Mosquera moves closer with the player agreeing personal terms with the Gunners.,https://www.bbc.com/sport/football/articles/czey2dyr314o,"Mon, 14 Jul 2025 09:29:26",Alex Howell,['Arsenal'],"Valencia centre-back Cristhian Mosquera has agreed personal terms with Arsenal, with a move to the Premier League club getting closer.
BBC Sport previously reported that Arsenal were in talks to sign the 21-year-old but now another element to the deal has been completed.
The Gunners have been looking to add a young defender to their squad to compete with William Saliba and Gabriel Magalhaes.
Mosquera can play at both centre-back and right-back and will fill the gap in the squad left by the departure of Takehiro Tomiyasu, who mutually agreed to terminate his contract.
The Spain Under-21 international has made 90 appearances for Valencia and was a regular last season, playing the full match in 37 of the club's 38 La Liga games.
Arsenal have been busy during this transfer window and have signed Martin Zubimendi from Real Sociedad, Christian Norgaard from Brentford and Kepa Arrizabalaga from Chelsea.
The Gunners are also close to completing a deal with Sporting for striker Viktor Gyokeres and are hoping to complete a deal inside the next 24 hours for 73.5m euros (£63.5m).
A versatile defender who used to be a winger
Mosquera, who was born in Alicante but has Colombian heritage, started out as a basketball player before making the switch to futsal and joining local side San Blas Canavate, who were looking for an additional player to play in a youth tournament
He swapped his love of futsal for football in 2013, joining Alicante's biggest team Hercules, and playing as a pacey winger. He then joined Valencia's youth set-up as a 12-year-old in 2016.
Six years progressing through the club's youth ranks sparked his transformation into a defender, and he finally made his first team debut in a Copa del Rey fixture against CD Atletico Baleares in January 2022.
He can play at both centre-back and right-back and has now racked up 90 senior appearances for Valencia, scoring one goal along the way.
Arsenal already boast several of the Premier League's best one-on-one defenders, and in Mosquera they'd be signing a player who excels against opponents with the ball at their feet.
The 21-year-old won 70.7% of his ground duels in La Liga last season, far surpassing any other central defender to have contested at least 100 of them.
He also won possession an average of 5.15 times per 90 minutes, the third-highest figure in the division among players in his position.
A far better option for opponents is to take the aerial route against Mosquera.
Despite being 6ft 2in, the Colombian proved as suspect in the air last season as he was imperious on the grass – his meagre success rate of 45.2% in aerial duels was the fourth-worst among central defenders who started regularly.
The move for Mosquera should give Mikel Arteta formidable strength in depth at centre-back though.
In addition to the first-choice pairing of William Saliba and Gabriel, the Gunners can also call upon Jakub Kiwior, and while Riccardo Calafiori, Jurrien Timber and Ben White have mainly featured at full-back, all three had plenty of experience in central defence before joining.
Kiwior normally provides cover for fellow left-footer Gabriel and filled in successfully when the Brazilian missed the final eight weeks of last season through injury. Mosquera is therefore initially likely to serve as dedicated back-up for Saliba as the right-sided centre-back.
But one of the advantages to recruiting Mosquera is his ability to play in either channel.
The Spaniard's breakthrough campaign was in 2023-24, when 85% of his league minutes for Valencia came as the right-sided centre-back. The following year the emergence of Cesar Tarrega meant Mosquera was often moved to the left, making 62% of his appearances there.
While Arsenal released the versatile but injury-plagued Takehiro Tomiyasu this summer, the signing of 21-year-old Mosquera should mean the Gunners have more than enough defensive options available.
",BBC
Man Utd fan admits slapping Grealish at derby,"Alfie Holt, 20, is given a three-year football banning order and ordered to pay a £120 fine.",https://www.bbc.com/news/articles/cdezpzp5pydo,"Mon, 14 Jul 2025 16:20:35",,['Manchester United'],"A Manchester United fan has admitted assaulting Manchester City player Jack Grealish by slapping his face after he claimed the footballer insulted him.
Alfie Holt, 20, pleaded guilty to a single count of assault on Grealish, who he said had called him ugly and a swear word after the Manchester Derby on 6 April, Manchester Magistrates' Court heard.
Holt, a Manchester United season ticket holder in the Stretford End, was given a three-year Football Banning Order and ordered to pay a £120 fine.
The defendant, of Droylsden, Tameside, told the court: ""I did not expect [Grealish] to say what he said to me and I have reacted. I regret it. That's it.""
Shazia Aslam, prosecuting, told the court Grealish was leaving the field after the Manchester Derby at Old Trafford, which was always a ""contentious affair"".
""Both sets of fans were very vocal, shouting abusive comments to rival players,"" Ms Aslam said.
The court heard that as players left the field, heading for the tunnel, Holt stood very close by, shouting abuse at City players.
Grealish then heard Holt's comments and walked back towards him before they had an ""exchange of words"", she said.
""As the complainant walks away, the defendant slaps the complainant across the face.""
She said there was no injury and Holt had been arrested outside the stadium.
In a witness statement, Grealish told police he could not hear what the defendant was shouting due to the crowd noise, so he walked towards him and tried to engage in conversation and leaned in to speak to him.
He said he was still unable to hear, so he moved to walk away when he was slapped.
'Vulnerable players'
After his arrest, Holt told police he had been drinking before the game ""in town"" and went to the match with his father.
He said he had been shouting abuse at City players, including Phil Foden, who had ignored him.
He then shouted an insult at Grealish, who reacted and a ""verbal altercation took place,"" the court heard.
Holt told police he had ""flipped"" when Grealish had insulted him back and he reached out and slapped the footballer.
Magistrates were shown a brief clip of the incident, which had no sound.
Ms Aslam said: ""The defendant uses force against a player. Players are extremely vulnerable to this sort of conduct and need to be protected.""
Melanie Winstantley, defending, said Holt had no previous convictions and had never been arrested before, so the incident was completely out of character for him.
She said his Manchester United season ticket, which he had for 12 years, had already been revoked, which was a ""significant punishment"" to him.
""He's admitted what he's done, he's owned what he's done. It's a very minor assault,"" she said.
Ms Winstanley told the court Grealish had ""doubled back"" after going into the tunnel to speak to Holt.
She added: ""He didn't have to do that. It's not unusual for players and fans to engage in banter at football matches.
""I'm not trying to excuse the behaviour.""
Passing sentence, chairwoman of the magistrates' bench Jill Hodges told Holt she accepted he had pleaded guilty and he appeared to regret his actions, but there must be ""punishment and deterrence"" for such behaviour.
He was also ordered to pay £85 costs and a surcharge of £48.
The court heard fines could not be deducted from Holt's Personal Independence Payments, so his parents, who he lives with, agreed to pay them in full within 28 days.
Listen to the best of BBC Radio Manchester on Sounds and follow BBC Manchester on Facebook, X, and Instagram. You can also send story ideas via Whatsapp to 0808 100 2230.
",BBC
Man Utd lay tribute to Jota and Silva at Anfield,Manchester United manager Ruben Amorim is joined by players Bruno Fernandes and Diogo Dalot as they visit Anfield to pay tribute to Portuguese compatriots Diogo Jota and his brother Andre Silva.,https://www.bbc.com/sport/football/articles/czry263e1x0o,"Mon, 14 Jul 2025 18:41:03",Mandeep Sanghera,['Manchester United'],"Manchester United manager Ruben Amorim was joined by players Bruno Fernandes and Diogo Dalot at Anfield to pay tribute to Portuguese compatriots Diogo Jota and his brother Andre Silva on behalf of the Old Trafford club.
Fernandes and Dalot were international colleagues of Jota, 28, and all part of the Portugal squad that beat Spain to win the Uefa Nations League in June.
Jota and 25-year-old Silva, who was also a footballer, died in a car crash on 3 July in the Spanish province of Zamora.
Amorim, Fernandes and Dalot laid some flowers among the vast amount of tributes which have been placed outside Anfield.
""Rest in peace Diogo and Andre,"" read the message with the wreath.
""With deepest condolences from everyone at Manchester United.""
Liverpool have retired the number 20 shirt worn by Jota across all levels of the club and played their first match since his death when they faced Preston in a pre-season friendly at Deepdale on 13 July.
In an emotional game, there were a number of tributes to Jota and Silva, including an impeccably observed period of silence and a rendition of Jota's song.
Jota played for Wolves before joining Liverpool in 2020 and tributes for him and his brother have also been placed outside the Molineux stadium of the Midlands club.
""With heavy rain and thunderstorms forecast in the coming days, staff have begun carefully removing and preserving items from the tribute area to protect them from damage,"" said a Wolves statement., external
""All non-perishable items will be carefully stored and will be retained for potential inclusion in a more permanent memorial, which the club is now exploring as a lasting way to honour Diogo and Andre.""
Wolves also plan to mark the passing of the brothers at their final pre-season friendly against Celta Vigo on Saturday, 9 August before the ""main commemorations"" at the side's opening game of the Premier League season against Manchester City on Saturday, 16 August.

",BBC
